,caption,target,prediction,onnx
150,"Working on a WIP tonight! I have several projects I can't show until they make it to there new homes so until then lots of progress shots of this guy!! I have high hopes for this one!!! Infinite Love🙏💓
-
-Also credit to @timmytychilders for making the amazing sounds you hear -
-
#handmade #wirewrap #jewlery #wirewrapjewlery #pendant #pendantsofig #wirewrapsofig #fashion #diopside #headyglass #jewelrygram #oneofakindjewlery #quartz #customjewelry #love #garnet #headyjewelry #bottlecapchallenge #headyart #spinel #handmadejewelry #silver #oprahsbookclub #labradorite #danburite #herkimerdiamond #instagood #meteorite #festivalfashion #riojeweler",0,0,0
151,"Selling my #rudeboyglass #bubblecap and #cheetodabber $160
#cheetos #dabber #heady #headydabber #headydabbers #headyglassforsale #headyglass4sale #glassforsale #glass4sale #boromarket #boromarketplace #headysale #headyforsale #bubblecap #toro #mothership #sovereignty",0,0,0
152,"Functional Friday Auction! My first 14mm recycler! Made with @glassalchemy Light Cobalt 💙 
PLEASE REPLY TO THE COMMENT THAT SAYS “Bid here” in order to avoid confusion cause instagram is trash. 
Bidding starts at $250
No Reserve, No BIN
Minimum increments of $10
Shipping is $5 ( international more) 
Auction will end at 7:10 pacific time tomorrow! Snipe rule in place. Please do not bid if you cannot pay, or you will be blocked from my page. Payment due within 24 hours. 
Thank you and happy bidding! 
#glass #glassart #glassofig #boro #handmade #art #glassforsale #upgradeglass #pendant #pendantsofig #azglass #tucson #dabbersdaily #heady #headyart #uofa #crafts #makersgonnamake #bestofglass #wfayo #lb #710",1,1,1
153,#graspercap #talondagger set fit for the most mondo of heady heads with my dude @chibbsglass. 💪 Featuring #cfl reactive syzygy along with some blinging @grandpaglass opals!😎💎💎💎This set is one of my personal favorites of the collaborations we created together during his visit. I mean look at those dots! Homie’s being slept on too.. 😴 this set is available!💸💸💸DM with interest! 🙏🙏🙏🙏🙏🙌🙌🙌🙌🙌💚💚💚💚💚😎😎😎😎🔥🔥🔥🔥🔥🔥#chibbsglass #xillaglass #xilacrew #dotstack #opal #headies #glasslife #glassofig #bubblecap #dabber #headyglass #colorshifter #profoundglass #bestofglass #blowglassharder #artharder #manifestharder,0,0,0
154,Infinite Terp Spinners #25-30 on deck 🌪🌪😤💪🏻💎🌪🌪,0,0,0
155,"@darbyholmglass x @steve_sizelove Cactus Bubble Cap
Available on 2LoudSmokes.com
or DM to Purchase.
#darby #sizelove #bubblecap #710society #dabs #glassforsale #heady #headyglass #bubbletrap #glassart #darbyholm #glassofig #dabbers #dailydabbers #glassporn",0,0,0
156,"Some caps I have available currently 👍 shoot me a message if you have interest in any of em/of you'd like to place an order for wholesale/specific colors!
#carbcap #bubblecap #terpcontraptions #functionalglass #glassforsale #available #CaptainJankSparrow #planemoglass #glassart #glassofig #glassporn #massglass #beastcoast #boro #buylocal #supportthemakers #stonersofig #errl #shatter #dabbers #dabachusetts #420 #710",0,0,0
157,Had a great time creating this forearm piece yesterday! Thanks for coming in during your travels and letting me do my thing 🙏💚,0,0,0
158,"Another stunner ⚡️ from @saiyanglass for #PipesInThePanhandle 🙌🏻 This monster Mewtwo 🔥 went our whole show without someone catching it 🤯 Well, now is YOUR chance 👍🏻 Hit our DMs or stop by the shop 🏠 asap to scoop this beauty‼️ Comes shipped in a @pelicanprofessional 🧰 * Shipping Nationwide📦
* Payment plans available 💵
* DMs are always open 💻📲📩
.
.
.
#bestofglass #glassofig #functionalglassart #headyglass #glassart #headyart #tleafgallery #tleafsmokeshop #tleafcrew #glassporn #glassofinstagram #glasspipe #420 #710 #heady #headyglassforsale #headyglassart #headylife #glass #glassblowing #glass4sale #glassforsale #saiyanglass #saiyan #pokemon #pokemonglass",0,0,0
159,"Reminder for today’s auction - Wildberry over White Satin bubble cap. Bidding and info on previous post! 
#glassauction #boroofig #dabtool #bubblecap #headyglass #boroauction #dabbersdaily #glass_of_ig #glasspipesforsale #dabbersunite #glassofig #boro #liquidsandstudio #marthaproctor",1,0,0
160,My dude @sleevie_wonder_torches get down on some #terps with his #TheSpade ⛏ breaking in his @captncronic purple beauty 💜🔥🥳,0,0,0
161,"Glass blowing home studio gear for sale.  Includes most of the things you need to get started flame working glass.  Fume hood, extractor fan, kiln, sandblaster, compressor, wet saw, rollers, bench, backsplash, Homefill oxygen system, oxygen tank, Bethlehem Bravo torch, electric footpedal, marver, hoses and regulators.  Just add tools and your ready to go.  Clear glass and a box of short color is included.  Tube 75, 50, 44, 38 25, 20, 16, 12, 10.  Rod. 14, 12, 10, 8, 7, 6, 5, 3",0,0,0
162,Auction for this @paulson.pieces Heart Millie Bubblecap. Starts at $20$’s Bid in 5$’s increments plus 5$’s shipping. Ends tomorrow at 7:10 #terpsauce #terpslut #terpdiamonds #floridadabbers #seattledabbers #oprahswookclub @lostmarbles.us  #bestofglass #sloryan #glassofig  #headyglass #seattledabbers #weshouldsmoke #dabbersdaily #710kingpen #dabsociety  #glassauctionsdaily #glassauctionsofig  #headyauction  #dailyauctions #glassporn #glasslovers #glasslife #glasslove #lostmarbles #carbcap #terpsauce #terppearls #bubblecap #thousanddollarsmoke #boroauctions #boroauction #bubblecap #eastcoastdabbers,1,1,1
163,"Just put the finishing touches on this as boy 👌💪 Tell me what y’all think 🔥
#itstimetoduel #wood #woodburn #woodburns #woodburning #woodburnart #woodwork #woodworks #woodworking #woodcraft #woodcrafts #woodcrafting #woodmat #woodcoaster #woodart #headyart #scrollsawart #pyrographyart #art #handcrafted #rigmat #rigcoaster #headyart #yugimuto #yamiyugi #milleniumpieces #konami #darkmagician #darkmagicattack",0,0,0
164,"Made this 30mm implosion cap this morning. Its gunna be posted for auction at @glassholes_philly pretty soon so if you want it go follow them and keep your eyes peeled ✌

#taintedglass #buymybubs #bubblecap #carbcap #implosion #glassofig #bestofglass #progress #glassforsale #coilpot #secretwhite #ruby",1,1,1
165,Mike Gong 2011 #nfs,0,0,0
166,"Bloody Citrus

@lyonsglass @lyonsglass @lyonsglass ❤️🍊 #berngallery #vermontglass #glasslove #thousanddollarsmoke #fueledbythc #cannabiscommunity #710society #bestofglass #americanglassart #lyonsglass #pipeclassic13 #investinheadies #stayjuicy #samlyons #lyonsslice #citrussquad #tvjohnny #pixel2camera #allmyglassispaidfor #johnnydang #diamondsonmychain #bloodorange #bubblecap #newenglandstoners #pnwstoners #eastcoastdabbers #eastcoaststoners",0,0,0
167,"""What's up guys, just got called out by a fat glob Friday/ stop drop and glob by @upg_vato . I'm going in on some fresh pressed solventless, using my 2k15 taylor sims recycler. Hopefully this is considered a glob!"" I had to edit down a 3 minute video to 1 minute. So your seeing the 1st 2 minutes at times 2 speed. I finished and inhaled all of it. 
_____________________________________
#glassofig #bong #glasspipe #thousandollarsmoke #dabrig #dailydabbers #localglass #funtionalglassart #headyglass #bestofglass #glassporn #boroglass #stonersociety #glasslife #oprahsbookclub #heady #boro #boroofig #bubblecap #dabstagram #glassforsale #headyforsale #heady #glassauction #pendantauction #pipemaker #dabs #gramdab #meltshot #carbcap",0,0,0
168,"Auction!! These two 8 mil pearls start now at $10 each and end on Thursday at 2:00 PM, pst. It took me some practice to make something so small. Buyer pays shipping and Please be PayPal or venmo ready. 10 minute snipe rule in effect. #millemalachi #milli #mille #murrini #murriniofig #murrine #murrineofig #maca #macagroup #glassart #glasslife #glassblowing #glassofig #glassforsale #glassauctionsofig #glassauction #glassauctions #headyglass #headyart #headyglassofig #headymille #simpsons #apu #yankees #dabs #dabbers #rosin #icewax #pearls",1,1,1
169,"SOLD. I had a lot of fun making this and will be making more for sure! This one is number 1 of what will be a limited run of 50 of these caps. Will come signed, numbered, and dated. Fits 25mm nails and functions like a dream! 
#420 #710 #glass #glassart #glassartist #dabs #terps #hashoil #heady #headyglass #boro #borobywombat #carbcap #bubblecap #cannabiscommunity #pdxglass #pnwglass #oprahsbookclub #oprahswookclub #flamewook #fume #fumeporn",0,0,0
170,"Stoked to be part of this upcoming show @ruckusgallery. Save the date, there will be some killer work there from all these awesome artists. .
.
.
.
	#glassofig #glassforsale #oprahsbookclub #glassart #eastcoastglassblowers #dimensionglass #710 #420 #highsociety #topshelf #glassporn #boro #glassart #glassblowing #flameworking #710society #glassforsale #pendantsofig #dabbersdaily #quartz #dabs #available #opal #fume #bubblecap #carbcap #dabsociety",0,0,0
171,"Galactic Passport pendant 👽

This piece has found its home. If your interested in one. send me a DM to get your own.

#GalleryofBrainFreeZe #Phycadelic #BrainFreeZe #HeadyArt #TrippyArt #FumePorn #GlassofIG #Pendy #SpaceArt #GalaxyPendant #OprahsBookClub #HandMade #710Society #DabbersDaily #BoroLife #GlassPendants #GlassCollector #Art #GlassArt #HotFyah #Space #StayHeady #Colorado",0,0,0
172,"$1**CTION! For a #goldandsilverfumed and #exp46 CFL #bubblecap ! Starting bid is $1 with $1 OR more increments.  Ends tonight at 6pm PST 5/14/19 with a 5 minute snipe rule! Dm for questions.  Winner pays $5 shipping us and $15 for international.  Winner MUST BE PayPal OR venmo ready OR I also take the cash app now 😀. Winner MUST CONTACT WITHIN 24HRS and PAY OR ITEM will BE REAUCTIONED.  MUST BE 18 years OR OLDER to bid.  PLEASE TAG THE PERSON YOU OUTBID THANKS AND HAPPY BIDDING 😀
#glassforsale#bubblecaps#carbcaps#dabbers#dabtools#terptools#highsociety#dabsociety#headyglass#glassauction",1,1,1
173,A little bowtie booty! 😆💪 #nightshiftcrew#nightshift #cloudsovercanada #wigwag #linework  #fire #uv #funwithfire #bubblecap #banger #glass #glassofig #rigsofig #custom #minitube #glassforsale #boro #boroforsale #glassart #carbcap #bangerhanger #qtiptech #thousanddollarsmoke #glassdabber #paythepiper #piedpiperglass #therealpiedpiper,0,0,0
174,"Someone’s been jackin’ my style 😤
.
.
.
#dreadhead #trippy #vegasartist #cincinnatiartist #festivalfashion #dc #landmarker #androgynous #andro #waves #wavey #dcshoes #dcskateboarding #skatefashion #skatestyle #androgynousfashion #hiphopfashion #710society #420community #pisces #heady #headyart #trippyart #psychedelicart",0,0,0
175,"I’m going to have some unique options for slide bowls at my upcoming show @greatestshopever!!! I’m excited for this one, and I’m working hard to make sure I’ve got a nice selection for everyone :) See you September 6th ❤️",0,0,0
176,"@zootglass Layback
@lu_glass_ Bonzai
. . .
.
.
.
.
.
.
.
.
.
.
#terpenes #liveresin #fueledbybho #thousanddollarsmoke #indica #sativa #globs #smokeweedeveryday #cbd #dailydabbers  #terps #dablife #highendglass #dabsociety #headyart #weedofig #justblazeig #colorado #shattermatters #solventless #contemporary #art #glassart #headyglass #pukinbeagle #quave #planetcaravansmokeshop #zootglass",0,0,0
177,"🌵Cactus Bubblecap🌵🎸 .
.
#available #playingintheband #mikessong #bubblecap #710 #concentrate #meditate #levitate #cactus #slapdebass #musicislife #girlswhoblowglass #nikokatglass #makeit",0,0,0
178,"Finished Red Tailed Tropicbird sculpture. NFS. I was asked to make a commission with seabirds from Hawaii. I chose these beautiful birds and made a background representing the mountains, the coastal waters and the deep ocean. These birds nest in the cliffs, sometimes far inland and on the steepest inclines and then hunt out at see for squid that come up from the deep ocean. You can see several species of Tropicbirds throughout Hawaii, try the Kilauea lighthouse on Kaua’i to see for them for yourself! #flamework #flameworking #lampwork #lampworking #glass #redtailedtropicbird #tropicbird #bird #headyart #glassofig #highshelfglass #borosilicate #borofauna",0,0,0
179,Game time guys! Come find me @statussesh @status_sesh and guess what's in my hand and it's Yours. Yup that easy. Good luck guy's. As always thanks for looking and have a great day! 👍😀🤘 #glasslife #glassart #glassofig #headyart #headyglass #bestofglass #pendantsofig #thousanddollarsmoke  #boroofig  #dax_glassog #psilo_pill #psilo_drip  #glassporn #heady #headylife #boro #boroporn #glassblowing #blowglass #flameworking #meltingglass #padlock #thetravelerhascome #highendhoodrat #daxlock #zef #coe33 #baller  #beautyandthebeast #shedeservessomuchmore,0,0,0
180,"Another recent marble with a newer style I'm trying to improve.
#layers #depth #glassofig #glassmarble #glassfeatures #headyart #marblesofig #boroglass #glassart #dabbersdaily #bestofglass",0,0,0
181,Twins #giraffes #acaciatrees #zachjorgenson #marblesofig #headyart #bestofglass #murrine #sphere #glassart,0,0,0
182,"**CTION! For a #davesblue and white tentacle #pendant ! Starting bid is $10 with $1 OR more increments.  Ends tonight at 6pm PST 6/8/19 with a 5 minute snipe rule! Dm for questions.  Winner pays $5 shipping us and $15 for international.  Winner MUST BE PayPal OR venmo ready OR I also take the cash app now 😀. Winner MUST CONTACT WITHIN 24HRS and PAY OR ITEM will BE REAUCTIONED.  MUST BE 18/21 years OR OLDER to bid.  PLEASE TAG THE PERSON YOU OUTBID THANKS AND HAPPY BIDDING 😀
#glassforsale#pendants#pendantsforsale#dabbers#dabtools#terptools#highsociety#dabsociety#dailydabbers#oprahsbookclub#headyglass#glassauction#glassauctions",1,1,1
183,"**CTION! For a #dropdown Winner PICKS size and gender combo! Starting bid is $20 with $1 OR more increments.  Ends tonight at 6pm PST 6/11/19 with a 5 minute snipe rule! Dm for questions. Winner pays $5 shipping us and $15 for international.  Winner MUST BE PayPal OR venmo ready OR I also take the cash app now 😀. Winner MUST CONTACT WITHIN 24HRS and PAY OR ITEM will BE REAUCTIONED.  MUST BE 18/21 years OR OLDER to bid. PLEASE TAG THE PERSON YOU OUTBID THANKS AND HAPPY BIDDING 😀
#glassforsale#dropdowns#dabbers#dabtools#terptools#highsociety#dabsociety#headyglass#dailydabbers#oprahsbookclub#glassauction#glassauctions",1,1,1
184,Need a new #carbcap 🔥 peep this beautiful BlueDream ‘Spray Can Nozzle’ directional from @roneglass 👌 so fresh 😎,0,0,0
185,"DEVILS HEART TATTOO Is NOW SELLING ::: Local Handmade Wire Wrapped Jewelry by Hanna Mahea, Mineral Momma. Based on Colorado Springs~
Precious gemstones and crystals tediously wrapped in solid sterling silver (and gold upon request). I accept customs for pendants, pins, bracelets, and rear view mirror hangers.
I love working with crystals and precious metals. I found my love for bending wire 4 and a half years ago~ come get a custom Jewelry @ DEVILS HEART TATTOO STUDIO 3320 w Colorado Ave #5, Old Colorado City 
Instagram.com/mineralmomma
Facebook.com/HannahMahea
Etsy.com/shop/MineralMomma",0,0,0
186,Pac-Man powering up with an opal from @grandpaglass! What other characters do you wanna see?!,0,0,0
187,"🔥🔥🔥24 HR AUCTION🔥🔥🔥
🔥PLEASE READ WHOLE POST BEFORE BIDDING🔥
⭐Peach Cove Bubble Cap ⭐
👇👇👇👇👇👇👇👇👇👇👇👇👇
✌✌AUCTION RULES✌✌
1. TAG THE PERSON YOU OUT BID IN YOUR BID.
2. I CANNOT ACCEPT PAYPAL. 
3. VENMO/GOOGLE WALLET/SQUARE CASH/FACEBOOK PAY ONLY.
4.-AUCTION STARTS AT $0
5.-PLEASE BID IN AT LEAST $5 INCREMENTS
6. BIN 30+ $10 SHIPPING
7.-BE READY TO SEND PAYMENT WITHIN 24HRS OR GET BLOCKED.
8.-BUYER ADDS $10 FOR SHIPPING
9.ENDS AT 6/24 1PM PST

#boromarket #carbcapforsale #boroauction #carbcap #glassofig #glassart #carbcaps #glassforsale #glass #headyglass #glassporn #bestofglass #carbcapsofig #dabs #420 #bubblecap #carbcapsforsale #glasslife #boro #oprahsbookclub #art #terps #glassblowing #glass_of_ig #shatter #glassauctions #glass4sale #boroforsale #glasspipes #710society",1,1,1
188,"@eternal_quartz Puffco Peak Bubble Caps in stock! We got the V2 Puffco Peak Hemisphere Cap, the Reverse Etched EQ Print Bubble Cap and V2 Puffco Peak Marble Cap with a Shorter Handle!! Call/Dm @unwindsmokeshop for more info!! #eternal #quartz #eternalquartz #bubblecap #marblecap #hemispherecap #unwindsmokeshop #unwind #smokeshop #smoke #smoker #smoking #dab #dabs #dabbing #dabber #oil #herb #710 #710society #420 #dablife #highlife #hightimes #oprahsbookclub #glassofig #glassforsale #heady #headyglass",0,0,0
189,@meademade_glass #yellowcrayon Beldar x @joelhalenquartz #flattop x @crystalstarquartz #bubblecap all available in store and online thecavesmokeshop.com 🔥🔥#ryanmeade #meademadeglass #thecave #thecavesmokeshop #bayarea #glassart #joelhalen #joelhalenquartz #quartzcrystal #caveconnected #beldar,0,0,0
190,"New Bubble Cap made by @bororegon 🔥😍😎💎🔮👏 💚

#WaxWorks420 
#NorthWestReviews #dabsociety  #dabchamps #dabaholic #glassofig #pdxdabbers #glassart #dailystoner #710photography #functionalglass #smokersonly #functionalglassart #dabbedout #fumedglass #boroglassart #onlysmokethefinest #bororegon #dailydabber #weshouldsmoke #claritycounts #pnwdabbers #boroglass #washingtonweed #dabstagram #710life #bubblecap",0,0,0
191,"Just added a bunch of Puffco Peak sized bubble caps by @_bradleymiller_ ! ▪️NEGLASSART.COM ▪️ FREE SHIPPING 
#glassofig #glassforsale #710 #eastcoastdabbers #glassporn #puffcopeak #serum #cflglass #lowtempdabs #bmglassforsale #neglassart #bubblecap #glass_of_ig #solventless",0,0,0
192,"Another awesome design I’d love to see in skin. Had a great response to the other designs, so offering a great deal on this one. First come first serve! 🌙💚",0,0,0
193,"@jmasswhat and @stephan_peirce collab on this sherlock. Very clean and easy on the eyes.

#glass #glasspipe #glassart #glassgallery #glassofig #drypipe #dryherb #glassforsale #glass4sale #oprahswookclub #oprahsbookclub #avsglassgallery #austintx #austintexas #heady #headyglass #headyforsale #headyglassofig #headyart #sherlock #sherlockpipe #tobaccopipe #green #spg #jmass",0,0,0
194,"Iso station type thing lol what can we collectively call these things?
Please comment below what you think...seriously lol 😅
SOLD
#sailorsilica #qtip #isojar #cannabiscommunity #glassofig #headyart #glasscommunity #qtipjar",0,0,0
195,"28mm Uv Dichroic Bubble cap 👈🏾🙀🔥
#bubblecap#bubblepcaps#heady#headyglass#uvglass#dichroic#dichroicglass#boro#glassforsale#glassblowing#lowtemp#terpenes#quartzbanger#dabbersdaily",0,0,0
196,"Edit: Sold 
_
Haven't put a octopus on something in a long time, found this recycler that got started sometime last year that didn't get finished for reasons I can't remember, maybe it was just waiting for the right moment #FunktionGang #dab #smoketrees #weshouldsmoke #fuledbythc #wfayo #onlysmokethefinest #420 #bestofglass #canadianglass #glasspipe #dabchamps #glassforsale #recycler #glassforsale #yoga #yeg #edmonton #yyc #calgary #alberta #vancouver #cloudsovercanada #tornado",0,0,0
197,Proud new owner of this @gonzoe_1 flask fixie and I couldn’t be happier!! The color combo is bomb as fuck and the fume sections on the booty of the piece and bubble cap are clean as fuck !🤤🔥 and not gunna lie I’m a sucker for a piece that has a exact matching cap 😅 you really knocked this one out of the park homie!👌🏾🤘🏾 #heady #headyhunter #headyglass #headyofig #headylife #headyart #headyworks #boro #boroofig #boroglass #boromarket #glazzmarket #buyboro #borohunter #boroart #glass #glassart #glassofig #glassworks #bestofglass #fumetech #flaskfixie #gonzoe_1,0,0,0
198,"Reposted from @drop_nugz_not_nukes75 -  Good Morning, Happy Sunday Funday CannaFam & Welcome to the D3N!! 💯😉💨💨💨💨
I'd  Like to Give a HUGE SHOUTOUT & THANK YOU TO The Master Glass Artists at ""Prohibition Glass"" @prohibitionglass for this Amazing Scoop Dabber/Carb Cap Combo That I was Gifted for My 44th Birthday Yesterday At CannaTank420 @cannatank420 In Spokane Washington!! The Funtion of Both Pieces Is Off the Chart!
 I Absolutely Love the Set My Friends! 💚💯💚💯💚💯💚
We Look Forward to Doing Future Business with Prohibition Glass and Carrying Their Amazing Glass art at ""The Cannabis Connection"" When we Open Our Doors In Spokane Washington This Year!!
The Event Was Amazing And We Will Be Returning To Visit Our Amazing Friends At CannaTank420 again Today!
Go Out into The World And Have An Amazing Day With OUR Glorious Cannabis Community & Carpe Diem My Friends! 💯🌍💯🌍💯🌍💯🌍
God Bless you ALL and Love from us @dropnugznotnukes!
#cannatank420 #sundayfunday  #prohibitionglass #prohibition #glass #art #glassart #heddy #headyglass #heady #scoop #bubblecap #spokane #fueledbythc #washington #loyalty #dropnugznotnukes - #regrann",0,0,0
199,Late night work #bubblecap #bubblecaps #bubblecapsofig #carbcap #glassblowing #colorglass #glasscolor  #art #boroglass #glasstools #710 #710society #710community#wedontdabthesame #wedontsmokethesame #colorglass #oprahsbookclub #oprahswookclub #bubblecapforsale #heady #headyart#smokeshop #smokeshops,0,0,0
200,"**CTION! For a #bluestardust and #portlandgrey #bubblecap with #opal ! Starting bid is $40 with $1 OR more increments.  Ends tonight at 6pm PST 5/29/19 with a 5 minute snipe rule! Dm for questions.  Winner pays $5 shipping us and $15 for international.  Winner MUST BE PayPal OR venmo ready OR I also take the cash app now 😀. Winner MUST CONTACT WITHIN 24HRS and PAY OR ITEM will BE REAUCTIONED.  MUST BE 18 years OR OLDER to bid.  PLEASE TAG THE PERSON YOU OUTBID THANKS AND HAPPY BIDDING 😀
#glassforsale#bubblecaps#carbcaps#dabbers#dabtools#terptools#highsociety#dabsociety#headyglass#glassauction#glassauctions",1,1,1
201,I tend to be a little more liberal with my pieces when it comes to water level 💦 Usually that leads to a gulp or two on the first few dabs when I get a new one 😂 Breaking in this @bluegrassglass x @trav_themarbleman collab lamp with some @smallbatchgrowing_ Sour Sunset hash rosin 🔥 Happy to be snowed in this weekend ❄️,0,0,0
202,"I realized I haven’t attempted sculpting a human figure in a REALLY long time- probably a few years! Of course, after thinking about it I had to give it a shot to make sure I hadn’t totally forgotten that skill... So here’s a tiny punk fairy for y’all. 🤘🧚‍♀️
.
.
#punkfairy #mohawk #humanfigurestudy #glassfigure #glasssculpting #glasslife #glassofig #coe33 #boroart #njglass #girlswhoblowglass #borosilichic #boroofig #glassartist #oprahswookclub #headyart #headyglass #borobabes #bestofglass #naturebonestudio #borosilicateglassart #borosilcate",0,0,0
203,"Today is #tokethursdays !! (We do not own the rights to the music)
#toke #smoke #toker #stoners #hippies #dabs #lighters #tokertime #dabsociety #bubblecap #nipseyhussle #higher #djkhaled #johnlegend #realmusic #stonerlifestyle 
#moderndayhippy #smokers #cannabis #maryjane #420 #thc #cbd #hightimes #nostress #tokerstars
#stayblazed #puffpuffpass #420daily",0,0,0
204,Have this frequency wand bub cap available. Hit me up if interested. This cap is perfect for smaller sized bangers - would work well from 18-25mm. Nice balance and smooth hold. Thanks for enjoying. ⚗️〰️〰️〰️〰️〰️〰️〰️✨ #entheoglass #bubblecap #carbcap #fumedglass #glassofig #boro #carbcapsofig #rigsofig #bangerhanger #bestofglass #glasscollector #heady,0,0,0
205,"I love the way this one mixed up. Hit me up if interested 10 mm Yoshi, blue dream and cobalt! #available #GlassForSale #headyglassforsale #HeadShop #420 #BestOfGlass #Headyart #ThousandDollarSmoke  #bho #GlassPorn #Wax #DailyDabber #dabbersdaily #thc  #functionalart #dabs #cannabiscommunity #cannabis #boroglass  #headyglass #rigs #pendant #HighSociety #elephant #Safari #480",0,0,0
206,"Auction! Ns Orange bubble cap for 25mm and puffco peak cap in siriusly!10$ start ea just write reg or peak any increments, please be certain when bidding! Going once, twice, sold style! payment due at close, flakes will be blocked. Credit/debit, venmo, square, pp accepted. Thank you for looking and good luck! Going once, twice, and sold style! #bangerhanger #bubblecap #carbcap #puffcopeak #puffcopeakcap #mangoglass #glassart #glassofig #rig #recycler #bubblecap #bangerhanger #art #glassforsale #dabber #dank #sculpture #sculpt #glassblowing #engineersurvivor #carbcap #travel #thankyouforlooking I do not own the rights to the music",1,1,1
207,"Full spectrum fume 14 mm slide with a fumed up implosion on the side. Thanks for looking. 
#sullyreynoldsglass #headyglass #dowhatyoulove #lovewhatyoudo #beastcoast #bestofglass #massglass #drdr #supportlocalart #glassfeatures #ssdgm #justglassin #oprahsbookclub #glassofig #supportlocalartists #oldschool #madeinmassnotmassmade #headyart #wfayo",0,0,0
208,Check out the New @dabcastle Brought to you by @bubblecapdonuts. Dab cap holder with 4 different sized dabtool inserts ! 🏰🔮🔌,0,0,0
209,Mai tai dabber I made last night. I'll post a better video when I get back home of this guy. Its available for $45 shipped. #dabs #dabber #710 #420 #sideboob #glassofig #garlicbread #boro #bubblecap #glassporn #iwillmarrymary #captainplanet #oprahsbookclub #tuopipes #cap #carb #heady #boobytrapspeltbackwardsispartyboob #carbcap #glass #headyglass #bestofglass #chugfuxker #710society #ronaldreganwasacaveman #glassforsale #whendidyoustopremembering,0,0,0
210,"🚨24 Hour Auction🚨
Crushed opal rig with retti attachment and yellow pastel. Leave your bids in the comments below!
Artist: @davemanglass
(About 5.75 inches/ 14mm)
👇👇AUCTION RULES👇👇
👉Starting Bid: $350
👉Bid Increments: $25 minimum
👉Tag the person you outbid
👉Highest Bidder Wins
👉Free International Shipping
👉Credit or Debit Card
👉Ends Tuesday 8:30 P.M. ET
👉Shipping Same Week
👉Optional: Add Handmade Parachute Necklace Only $10
👉24/7 support available @xfadesupport
PAYMENT IS DUE IMMEDIATELY AT CONCLUSION OF AUCTION; FAILURE TO PAY IS BLOCK —————————————————————
#xfade #headyglassforsale #shop #artist #headyglass #gallery #headshop #glassforsale #headylife #artist #glassart #glassartist #art #glassappreciation #glasscollector #collectible #pendy #glasspendant #pendant #heady #highendglass #borosilicate #highlife #boro #glass",1,1,1
211,This cone is a custom 4layer gig! Absolutely impressive details on it! It is available & many others from @qcglass_more563 #headyglass #glassart #glass #art #glassart #cone #tech #fbfg #coloradoglass #newglass #headshop #bubblecap #linework #boro #cadmium #fall #fade #orange #yellow,0,0,0
212,"Thnx you @jngstudios 👊🏽🙏🏽💯 for this Custom Blue Blizzard 🥶 ❄️ Bubble Cap 🔵, It’s just what I asked for Short tip & Handle with and Opal✨🤩, Matches my @welch_glass Sake Bottle 🍶, Much Luv Fam 🙏🏽💙, FOR ADULTS 21+, NOTHINGS FOR SALE❗️🎧:Rack In The Middle 💵💵💵 *
*
*
*
*
*
#710 #710society #glassofig #headyglass #sakebottle #opal #blueblizzard #bubblecap #jngstudios #welchglass #highaf #alwayshigh #dabstar #dabstagram #hightimes #lifted #staylifted #staymedicated #dailydabber",0,0,0
213,"Sorry we have been MIA lately for some reason we are on the shadow ban again but whatever this what we have available right now hit us up if your interested 🔥🔥⛽️⛽️🤘🏻🤘🏻 #pastrainhunter . . .
.
#weed #cannabis #marijuana #cannabiscommunity #weedporn #thc #cbd #weedstagram #stoner #kush #cannabiscommunity #oprahsbookclub #thousanddollarsmoke #headyart #cannabis #headyglassforsale #dabbersdaily #art #woodworkers #woodworking #woodwork #wood #woodworker #woodart #woodshop #woodworkersofinstagram #handmade #topshelflife #highsociety",0,0,0
214,"Bling bling 🤠 @turtletimeglass .
• ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
• ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
• ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
• ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
• ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
• ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
• ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#boro #rosin #bestofglass #cannabisculture #dabrig #headyglass #420 #710 #glassporn #glassart #hightimes #dabbersdaily #topshelf #oilrig #highendglass #heady #dab #concentrate #shater #terps #cfl #bubblecap #highsociety #oprahsbookclub #glasslife",0,0,0
215,Drop of caps available through @planetcaravansmokeshop. All full color caps and some with opals. Hit up @planetcaravansmokeshop if you see one you like 🙏 #BarryGlass#coilpot#carbcap#thermalcap#bubblecap#bestofglass#heady#headyglass#headyglassart#glass#glassart#glasslife#glassofig#glassblowing#flameworking#lampworking#gttmirage#glassforsale#glass4sale#progress,0,0,0
216,2017 pendant from one of my favorite artists  @yoshinorikondo #kondoglass #yoshinorikondo #glassofig #pendantsofig #yoshinorikondoglass #dotstacking #dotstackpendant #dotstack #headyart #headypendant #notforsale #personalcollection,0,0,0
